Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Video call interview,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65171f3b10132ff1a8d545ff,5f8f93586e3bb720c55869ff,APPROVED,2023-09-29T19:02:57.374000Z,2023-09-29T19:08:25.610000Z,2023-09-30T06:40:46.301000Z,2023-09-29T19:08:31.302541Z,329.0,C14N08G7,556,"English, Galician, French, Italian, Spanish","Yes, I would be willing to take part in a face to face video interview",52,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
65171f4449865c2cea600068,61176ed28c8935138ab6a64b,APPROVED,2023-09-29T19:02:28.106000Z,2023-09-29T19:06:37.397000Z,2023-09-30T18:11:49.307000Z,2023-09-29T19:06:37.895027Z,250.0,C14N08G7,389,English,"Yes, I would be willing to take part in a face to face video interview",27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
65171f4cedad82a92cb287d2,611666722763d407c769eb9b,APPROVED,2023-09-29T19:02:39.935000Z,2023-09-29T20:17:36.069000Z,2023-09-29T20:38:23.375000Z,2023-09-29T20:18:36.696768Z,4497.0,NOCODE,244,English,"Yes, I would be willing to take part in a face to face video interview",25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
65171f6972b406f80cd288fc,6135ce2a32b53777552a46b0,APPROVED,2023-09-29T19:03:11.454000Z,2023-09-29T19:08:44.638000Z,2023-09-30T06:40:21.870000Z,2023-09-29T19:08:46.125984Z,334.0,C14N08G7,481,"English, Afrikaans","Yes, I would be willing to take part in a face to face video interview",20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
65172cde4090a37cf83b3b6a,650de189b6f20e6ef24e8578,APPROVED,2023-09-29T20:00:30.398000Z,2023-09-29T20:11:04.132000Z,2023-09-30T07:56:01.671000Z,2023-09-29T20:11:04.765115Z,634.0,NOCODE,14,"Polish, English, German, French","Yes, I would be willing to take part in a face to face video interview, Yes, I would be willing to take part in a non-video interview, Yes, I would be willing to take part in a video focus group, Yes, I would be willing to take part in a non-video focus group",46,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
651733d3a7ea5b4678384167,6501c0a2e788b5556c24569d,APPROVED,2023-09-29T20:36:04.726000Z,2023-09-29T20:46:01.469000Z,2023-09-30T16:58:41.628000Z,2023-09-29T20:46:02.076785Z,597.0,C14N08G7,41,"Polish, English","Yes, I would be willing to take part in a face to face video interview",27,Male,White,Poland,United Kingdom,Poland,Polish,Yes,DATA_EXPIRED
65192b00ddf945d7e5319fe8,60ec6288c8facd0e581b53f9,APPROVED,2023-10-01T08:17:04.596000Z,2023-10-01T08:19:50.424000Z,2023-10-01T11:51:11.255000Z,2023-10-01T08:19:51.759600Z,166.0,C14N08G7,66,English,"Yes, I would be willing to take part in a face to face video interview, Yes, I would be willing to take part in a non-video interview, Yes, I would be willing to take part in a video focus group, Yes, I would be willing to take part in a non-video focus group",26,Male,Black,Uganda,South Africa,Uganda,English,Yes,Unemployed (and job seeking)
65198637d9ea017bb5e7b293,6160ccb0810a73f90ef4c5e7,APPROVED,2023-10-01T14:46:15.307000Z,2023-10-01T14:49:50.700000Z,2023-10-01T16:27:27.701000Z,2023-10-01T14:49:51.484822Z,216.0,C14N08G7,348,English,"Yes, I would be willing to take part in a face to face video interview",26,Male,Black,South Africa,South Africa,South Africa,English,No,Other
6517158179f1909719479327,64f3ad25c93a6f6d60e6acd8,APPROVED,2023-09-29T18:22:20.064000Z,2023-09-29T18:33:53.437000Z,2023-09-30T12:37:43.463000Z,2023-09-29T18:33:54.070999Z,694.0,C14N08G7,1,English,"Yes, I would be willing to take part in a face to face video interview",28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
65171a030634b0ca55fbdda2,615e80f8f7b842e4f5653268,APPROVED,2023-09-29T18:40:03.813000Z,2023-09-29T18:43:42.936000Z,2023-10-01T11:28:29.967000Z,2023-09-29T18:43:43.603079Z,220.0,NOCODE,239,English,"Yes, I would be willing to take part in a face to face video interview",35,Female,Black,South Africa,South Africa,South Africa,Other,DATA_EXPIRED,DATA_EXPIRED
65171f82f447dd404f0065ca,6120153a62e44ca1b6fa08c5,APPROVED,2023-09-29T19:03:52.593000Z,2023-09-29T19:09:01.761000Z,2023-09-30T14:25:16.246000Z,2023-09-29T19:09:02.248555Z,310.0,C14N08G7,83,English,"Yes, I would be willing to take part in a face to face video interview",29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
65172087bba544ebf169b69d,6161d0adb5f4801077840616,APPROVED,2023-09-29T19:09:33.018000Z,2023-09-29T19:13:52.414000Z,2023-09-30T10:20:40.902000Z,2023-09-29T19:13:52.892851Z,260.0,C14N08G7,56,English,"Yes, I would be willing to take part in a face to face video interview",27,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,DATA_EXPIRED
